Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,G,VS2,1.01,1.43,62.9,61,Excellent,Excellent,Slightly Thick to Thick,None,7.97,5.56,3.5,4710,GIA,None
Heart,,E,VVS2,3.58,1.12,57.9,61,Excellent,Excellent,Slightly Thick to Very Thick,None,9.56,10.68,6.18,8400,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1,1.03,72.2,75,Excellent,Very Good,Thick to Very Thick,None,5.61,5.45,3.94,3670,GIA,None
Princess,Ideal,D,VS2,1,1.03,69.5,75,Excellent,Very Good,Medium to Thick,None,5.75,5.58,3.88,3890,GIA,None
Pear,,H,VS2,1.01,1.55,61.7,62,Excellent,Excellent,Slightly Thick to Very Thick,None,8.78,5.66,3.49,2860,GIA,None
Marquise,,H,VS1,1.01,1.92,64.9,57,Very Good,Very Good,Medium to Very Thick,None,10.02,5.22,3.39,4690,GIA,None
Pear,,E,VS1,1.06,1.56,63.5,61,Excellent,Excellent,Medium to Thick,None,8.88,5.7,3.62,1070,GIA Lab-Grown,
Heart,,D,VS1,1.84,1.13,54.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.67,8.67,4.71,3090,IGI Lab-Grown,None
Pear,,F,VS1,1.02,1.67,62.8,57,Excellent,Excellent,Slightly Thick,Pointed,9.16,5.49,3.45,1020,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.52,1,61.7,57,Excellent,Excellent,Medium to Slightly Thick,None,7.34,7.36,4.54,1730,GIA Lab-Grown,
Cushion Modified,Ideal,D,VVS1,2.69,1.01,65.7,60,Excellent,Excellent,Slightly Thick to Thick,None,7.9,7.81,5.13,6360,GIA Lab-Grown,
Princess,Ideal,D,VS1,1.04,1.01,72.8,68,Excellent,Excellent,Medium to Thick,None,5.54,5.46,3.98,1120,GIA Lab-Grown,
Princess,Ideal,E,VS1,1.24,1.01,71,70,Excellent,Excellent,Medium,Pointed,5.83,5.8,4.12,1210,IGI Lab-Grown,None
Pear,,E,VS1,1.05,1.61,62.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.68,3.53,1060,IGI Lab-Grown,None
Round,Very Good,G,VS2,1,1.01,64.8,59,Very Good,Excellent,Medium to Thick,None,6.17,6.21,4.01,3970,GIA,None
Oval,,H,VVS2,1.01,1.37,64,59,Excellent,Very Good,Slightly Thick to Very Thick,None,7.61,5.55,3.55,3970,GIA,None
Emerald,,H,VS2,1.08,1.36,68.4,65,Excellent,Excellent,Slightly Thick to Thick,None,6.64,4.88,3.34,2690,GIA,None
Princess,Ideal,G,VVS2,1.01,1.01,71.8,71,Excellent,Excellent,Slightly Thick to Thick,None,5.48,5.44,3.91,3480,GIA,Faint
Oval,,G,VS1,1,1.37,66.5,56,Excellent,Good,Slightly Thick to Very Thick,None,7.52,5.49,3.65,4270,GIA,None
Marquise,,D,VS1,1.22,1.96,63.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,11,5.61,3.56,1310,IGI Lab-Grown,None
Radiant,,G,VS2,1.01,1.25,68.2,66,Very Good,Excellent,Thick to Very Thick,None,6.49,5.19,3.54,5320,GIA,None
Cushion,Ideal,E,VS1,2.03,1.05,66.5,58,Excellent,Excellent,Slightly Thick to Very Thick,Pointed,7.58,7.23,4.81,3050,IGI Lab-Grown,None
Marquise,,E,VS1,1.08,1.96,62.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.51,5.36,3.37,1090,IGI Lab-Grown,None
Princess,Ideal,D,VS1,1.07,1.03,69.4,64,Excellent,Excellent,Medium,Pointed,5.82,5.66,3.93,1150,IGI Lab-Grown,None
Pear,,F,VS2,1,1.58,62.3,57,Excellent,Excellent,Medium to Very Thick,None,8.78,5.54,3.45,4740,GIA,None
Radiant,,E,VS1,1.29,1.49,66.5,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.95,5.34,3.55,1250,IGI Lab-Grown,None
Pear,,D,VS2,1.01,1.67,62.1,56,Excellent,Excellent,Medium to Thick,None,9.11,5.44,3.38,3990,GIA,Medium
Cushion,Ideal,E,VS1,2.74,1.01,67.8,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.13,8.08,5.48,4410,IGI Lab-Grown,None
Oval,,F,VS1,1.08,1.47,61.1,61,Excellent,Excellent,Medium,Pointed,8.44,5.74,3.51,1080,IGI Lab-Grown,None
Round,Excellent,H,VS1,1.01,1,61.3,59,Excellent,Excellent,Slightly Thick,None,6.41,6.44,3.94,4120,GIA,None
Marquise,,E,VS1,1.08,2.03,59.6,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.98,5.4,3.22,1090,IGI Lab-Grown,None
Round,Very Good,H,VS1,1,1,63.8,60,Excellent,Excellent,Slightly Thick to Thick,None,6.26,6.29,4,4150,GIA,None
Cushion Modified,Ideal,H,VS1,1,1.04,71.2,58,Excellent,Very Good,Slightly Thick to Very Thick,None,5.59,5.39,3.84,2240,GIA,None
Cushion Modified,Ideal,D,VVS1,1.9,1.01,65.1,61,Excellent,Excellent,Medium to Thick,None,7.12,7.07,4.61,4350,GIA Lab-Grown,
Princess,Ideal,D,VS1,1.05,1,73.4,73,Excellent,Excellent,Medium,Pointed,5.48,5.46,4.01,1130,IGI Lab-Grown,None
Round,Excellent,D,VS1,1.55,1,61.4,57,Excellent,Excellent,Medium to Slightly Thick,None,7.43,7.45,4.57,1810,GIA Lab-Grown,
Marquise,,D,VVS2,1.01,1.85,66.3,56,Excellent,Very Good,Thick to Very Thick,None,9.45,5.12,3.4,8410,GIA,Faint
Pear,,F,VS1,1.07,1.77,63,62,Excellent,Excellent,Medium,Pointed,9.72,5.49,3.46,1060,IGI Lab-Grown,None
Oval,,E,VS1,1.11,1.43,61.5,61,Excellent,Excellent,Medium to Slightly Thick,None,8.39,5.88,3.62,1080,GIA Lab-Grown,
Oval,,F,VS1,1.02,1.49,63,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.31,5.59,3.52,1020,IGI Lab-Grown,None
Oval,,E,VS1,1.08,1.44,62.5,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.32,5.76,3.6,1050,IGI Lab-Grown,None
Princess,Ideal,G,VVS1,1.11,1,74.8,70,Excellent,Very Good,Very Thick,None,5.5,5.49,4.1,4180,GIA,None
Pear,,E,VS1,1.09,1.57,62.5,59,Very Good,Excellent,Medium to Thick,None,9.04,5.77,3.61,1040,GIA Lab-Grown,
Round,Excellent,H,VS1,1.01,1,63.3,57,Excellent,Excellent,Medium to Slightly Thick,None,6.34,6.37,4.03,3740,GIA,Faint
Round,Excellent,D,VS1,1.51,1.01,62.6,57,Excellent,Excellent,Medium to Slightly Thick,None,7.31,7.35,4.59,1770,GIA Lab-Grown,
Radiant,,E,VS2,1.02,1.26,74.2,66,Excellent,Excellent,Slightly Thick to Thick,None,6.2,4.94,3.67,3710,GIA,None
Marquise,,G,FL,1.01,2.04,59.6,62,Excellent,Excellent,Medium to Slightly Thick,None,10.8,5.29,3.15,6920,GIA,None
Round,Excellent,E,VS1,1.58,1,61.6,57,Excellent,Excellent,Medium to Slightly Thick,None,7.47,7.49,4.6,1800,GIA Lab-Grown,
Cushion Modified,Very Good,H,VS2,1.01,1.11,67.5,69,Excellent,Excellent,Medium to Slightly Thick,None,6.29,5.69,3.84,2350,GIA,Faint
Radiant,,G,VS1,1,1.3,68.3,72,Excellent,Very Good,Thick to Very Thick,None,6.52,5.03,3.43,3560,GIA,None
Oval,,G,VS2,1,1.41,63.8,60,Excellent,Excellent,Thick to Very Thick,None,7.85,5.58,3.56,3940,GIA,None
Heart,,D,VS1,2.1,1.13,55.1,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.92,8.93,4.92,3690,IGI Lab-Grown,None
Marquise,,D,VVS1,2.01,2,62.8,58,Excellent,Excellent,Thick,None,12.98,6.48,4.07,28770,GIA,None
Radiant,,H,VVS2,1.05,1.25,62.2,67,Excellent,Very Good,Slightly Thick,None,6.7,5.38,3.35,3330,GIA,None
Radiant,,E,VS2,1,1.06,72.8,62,Excellent,Very Good,Thick,None,5.62,5.31,3.87,3840,GIA,None
Marquise,,G,VS2,1,1.92,59,61,Excellent,Excellent,Slightly Thick to Thick,None,10.2,5.31,3.13,4800,GIA,None
Heart,,D,IF,1.09,1.13,55.8,57,Excellent,Very Good,Medium to Thick,None,6.5,7.35,4.1,2370,GIA Lab-Grown,
Marquise,,E,VS2,1.04,1.94,63.1,64,Excellent,Excellent,Slightly Thick to Thick,None,10.23,5.27,3.33,6010,GIA,None
Radiant,,G,VVS1,1.01,1.32,69.8,,,,,,,,,4080,GIA,None
Radiant,,H,VS1,1,1.3,67.8,68,Excellent,Excellent,Thick to Very Thick,None,6.55,5.03,3.41,3960,GIA,None
Radiant,,H,VS2,1,1.3,67.9,65,Excellent,Excellent,Medium to Thick,None,6.66,5.12,3.48,3900,GIA,None
,,,,,,,,,,,,,,,1210,IGI Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.81,1.01,66.7,62,Excellent,Excellent,Slightly Thick to Thick,None,8.18,8.13,5.42,6580,GIA Lab-Grown,
Marquise,,D,VS1,1.1,1.96,63.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.41,3.42,1190,IGI Lab-Grown,None
Heart,,F,VS1,1.65,1.13,55.3,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.32,8.28,4.58,2170,IGI Lab-Grown,None
Marquise,,E,VS1,1.08,2.05,63.1,59,Excellent,Excellent,Slightly Thick to Thick,None,10.82,5.29,3.33,1090,GIA Lab-Grown,
Cushion Modified,Ideal,E,IF,1.06,1,63.5,61,Excellent,Excellent,Medium to Thick,None,5.9,5.89,3.74,3330,GIA Lab-Grown,
Radiant,,H,VS1,1.03,1.21,66.6,64,Excellent,Excellent,Medium to Slightly Thick,None,6.44,5.31,3.54,3090,GIA,None
Heart,,E,VS1,2.01,1.14,56.4,61,Excellent,Excellent,Slightly Thick,Pointed,7.7,8.79,4.96,3260,IGI Lab-Grown,None
Oval,,E,VS1,1.04,1.51,64.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.37,5.54,3.55,1020,IGI Lab-Grown,None
Radiant,,G,VS2,1.03,1.09,70.2,70,Very Good,Very Good,Thick,None,5.73,5.27,3.7,3760,GIA,None
Round,Very Good,H,VVS1,1,1.01,64.4,58,Excellent,Very Good,Thick,None,6.14,6.22,3.98,3720,GIA,None
Princess,Ideal,F,VS1,1.09,1.01,70.7,69,Excellent,Excellent,Medium,Pointed,5.64,5.59,3.95,1070,IGI Lab-Grown,None
Heart,,D,VS1,1.01,1.2,59.9,62,Excellent,Very Good,Medium to Very Thick,None,5.71,6.83,4.09,5750,GIA,Faint
Heart,,F,VVS2,1.05,1.13,56.9,57,Excellent,Excellent,Medium to Extremely Thick,None,6.31,7.1,4.04,5600,GIA,None
Cushion Modified,Ideal,D,VVS1,2.13,1.03,68.4,60,Excellent,Excellent,Slightly Thick to Very Thick,None,7.41,7.19,4.92,4730,GIA Lab-Grown,
Marquise,,D,VS1,1.02,2.03,62.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.64,5.25,3.26,1110,IGI Lab-Grown,None
Radiant,,G,VVS2,1,1.26,68.4,67,Excellent,Excellent,Slightly Thick,None,6.3,5.01,3.43,4360,GIA,None
Princess,Ideal,F,VS1,1.04,1.01,72.3,68,Excellent,Excellent,Slightly Thick to Thick,None,5.6,5.52,3.99,1030,GIA Lab-Grown,
Radiant,,F,VS1,1,1.35,70,67,Excellent,Excellent,Thick to Extremely Thick,None,6.59,4.88,3.42,3690,GIA,None
Marquise,,E,VVS1,1,1.8,65.9,60,Excellent,Very Good,Slightly Thick to Very Thick,None,9.39,5.21,3.43,7100,GIA,None
Round,Excellent,H,VS1,1,1.01,63.4,56,Excellent,Excellent,Medium to Slightly Thick,None,6.3,6.35,4.01,3710,GIA,Medium
Princess,Very Good,H,VS1,1.01,1.04,75.6,70,Excellent,Good,Thin to Very Thick,None,5.59,5.4,4.08,2710,GIA,None
Round,Excellent,E,VS1,1.52,1,61.1,58,Excellent,Excellent,Medium to Slightly Thick,None,7.38,7.4,4.52,1730,GIA Lab-Grown,
Round,Very Good,H,VS1,1,1,60.4,62,Excellent,Excellent,Slightly Thick,None,6.41,6.43,3.88,4130,GIA,None
Heart,,E,VS1,1.11,1.11,60.5,58,Excellent,Very Good,Medium to Thick,None,6.42,7.11,4.3,5490,GIA,None
Princess,Ideal,E,VS1,1.13,1,71,66,Excellent,Excellent,Thick,None,5.73,5.72,4.06,1120,GIA Lab-Grown,
Round,Ideal,D,VS1,1.51,1,61.1,56,Excellent,Excellent,Thin to Medium,Pointed,7.4,7.42,4.53,1770,IGI Lab-Grown,None
Princess,Ideal,H,VVS1,1.05,1.01,70.7,73,Excellent,Excellent,Slightly Thick to Thick,None,5.72,5.68,4.02,3340,GIA,Faint
Oval,,D,VS1,1,1.39,60.1,63,Excellent,Very Good,Thick to Very Thick,None,7.83,5.65,3.39,4440,GIA,Faint
Cushion Modified,Ideal,E,VVS1,2.02,1.02,68.2,62,Excellent,Excellent,Slightly Thick to Thick,None,7.22,7.05,4.81,3890,GIA Lab-Grown,
Round,Very Good,H,VS2,1,1.01,61.9,59,Excellent,Good,Slightly Thick to Thick,None,6.28,6.35,3.9,3080,GIA,None
Marquise,,D,VS1,1.31,2.22,60.5,57,Excellent,Very Good,Medium to Thick,None,12.41,5.59,3.38,1420,GIA Lab-Grown,
Round,Excellent,E,VS1,1.59,1.01,62.2,58,Excellent,Excellent,Medium to Slightly Thick,None,7.41,7.46,4.63,1810,GIA Lab-Grown,
Heart,,D,VS2,1.01,1.18,59.4,57,Excellent,Very Good,Thick to Very Thick,None,5.94,7,4.16,4320,GIA,None
Pear,,E,VS1,1.01,1.55,58.6,61,Excellent,Excellent,Medium to Thick,None,8.88,5.72,3.36,4660,GIA,Faint
Pear,,E,VS1,1.09,1.59,61.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.23,5.79,3.55,1100,IGI Lab-Grown,None
Heart,,E,VS1,1.6,1.15,55.9,58,Excellent,Excellent,Medium to Thick,Pointed,7.23,8.28,4.63,2170,IGI Lab-Grown,None
Heart,,D,VVS2,1.01,1.17,58.5,61,Excellent,Very Good,Medium to Very Thick,None,6.02,7.07,4.13,5790,GIA,None
Pear,,F,VS2,1.09,1.63,64.9,61,Very Good,Very Good,Thick to Extremely Thick,None,8.98,5.5,3.57,3830,GIA,Medium
Round,Excellent,E,VS1,1.52,1,61.5,57,Excellent,Excellent,Medium,None,7.4,7.41,4.55,1730,GIA Lab-Grown,
Cushion Modified,Ideal,E,VVS2,1.71,1.03,68.9,58,Excellent,Excellent,Slightly Thick to Thick,None,6.85,6.68,4.6,2770,GIA Lab-Grown,
Princess,Ideal,D,VS1,1.05,1.01,69.6,69,Excellent,Excellent,Medium,Pointed,5.57,5.5,3.83,1130,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.53,1.01,61.4,58,Excellent,Excellent,Medium to Slightly Thick,None,7.38,7.43,4.55,1740,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1.01,1,73.7,70,Excellent,Excellent,Slightly Thick to Thick,None,5.37,5.35,3.95,3640,GIA,None
Pear,,G,VS2,1,1.74,61.4,61,Excellent,Excellent,Slightly Thick to Very Thick,None,9.41,5.4,3.31,3590,GIA,None
Princess,Ideal,H,VVS1,1.01,1.01,71.4,71,Excellent,Very Good,Slightly Thick,None,5.69,5.64,4.03,3030,GIA,None
Emerald,,H,VVS1,1,1.33,65.8,69,Excellent,Very Good,Slightly Thick to Thick,None,6.48,4.88,3.21,2610,GIA,None
Marquise,,D,VVS2,1,1.85,62.6,62,Excellent,Excellent,Medium to Very Thick,None,9.93,5.36,3.36,6610,GIA,Medium
Marquise,,D,VS1,1.05,1.96,63.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.37,5.29,3.36,1150,IGI Lab-Grown,None
Pear,,E,VS1,1,1.5,63.3,57,Excellent,Very Good,Slightly Thick to Thick,None,8.42,5.63,3.56,4930,GIA,None
Heart,,H,VS2,1.01,1.18,56.9,61,Excellent,Excellent,Slightly Thick to Thick,None,6.06,7.13,4.05,3550,GIA,None
Cushion Modified,Ideal,D,VVS2,2.09,1.02,67,60,Excellent,Excellent,Slightly Thick to Thick,None,7.28,7.16,4.8,4420,GIA Lab-Grown,
Cushion Modified,Ideal,D,VVS1,1.03,1.03,65.3,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.89,5.7,3.72,2490,IGI Lab-Grown,None
Pear,,D,VS2,1,1.5,63.5,59,Excellent,Very Good,Medium to Very Thick,None,8.41,5.59,3.55,3420,GIA,Medium
Princess,Ideal,G,VVS2,1.02,1.02,72.8,72,Excellent,Excellent,Slightly Thick to Thick,None,5.54,5.44,3.96,3360,GIA,None
Heart,,E,VS1,3.17,1.12,60.5,65,Excellent,Excellent,Medium to Thick,None,8.98,10.08,6.1,6770,GIA Lab-Grown,
Radiant,,H,VS2,1.01,1.12,67.9,75,Very Good,Good,Slightly Thick to Slightly Thick,None,6.16,5.49,3.73,3970,GIA,Faint
Pear,,G,VS1,1.01,1.54,64.5,62,Excellent,Excellent,Thick to Very Thick,None,8.54,5.56,3.59,4670,GIA,None
Oval,,E,VS1,1.09,1.45,61.6,58,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.39,5.8,3.57,1060,IGI Lab-Grown,None
Marquise,,G,IF,1.57,2.03,59.3,61,Very Good,Very Good,Very Thin to Thick,None,12.44,6.13,3.64,17100,GIA,None
Heart,,G,VS1,1.01,1.18,58.9,60,Excellent,Very Good,Slightly Thick to Very Thick,None,5.92,7,4.12,4060,GIA,None
Pear,,E,VS1,1.02,1.58,63.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.8,5.56,3.51,1030,IGI Lab-Grown,None
Radiant,,E,VS1,1.02,1.24,68.8,75,Very Good,Very Good,Medium to Slightly Thick,None,6.55,5.27,3.62,5260,GIA,Faint
Princess,Ideal,G,VS1,1.01,1.01,70.4,74,Excellent,Very Good,Thin to Slightly Thick,None,5.69,5.65,3.98,4180,GIA,None
Round,Very Good,H,VVS2,1.03,1.01,63.9,59,Excellent,Very Good,Slightly Thick to Thick,None,6.24,6.33,4.02,3950,GIA,None
Heart,,D,VS1,1.01,1.11,59.3,55,Excellent,Very Good,Medium to Extremely Thick,None,6.19,6.86,4.07,6550,GIA,None
Heart,,F,VVS2,2.09,1.14,54,63,Excellent,Excellent,Slightly Thick to Thick,Pointed,8.01,9.11,4.92,3400,IGI Lab-Grown,None
Round,Excellent,D,VS1,1.58,1,61.1,58,Excellent,Excellent,Thin to Medium,None,7.49,7.52,4.59,1850,GIA Lab-Grown,
Princess,Ideal,H,VS2,1.01,1.02,72.4,74,Excellent,Very Good,Thick to Very Thick,None,5.5,5.37,3.89,2620,GIA,None
Round,Excellent,D,VS1,1.59,1,61.7,56,Excellent,Excellent,Medium to Slightly Thick,None,7.48,7.51,4.63,1860,GIA Lab-Grown,
Heart,,H,VVS2,1.01,1.17,59.1,59,Excellent,Excellent,Thin to Thick,None,6,7.01,4.15,3320,GIA,None
Marquise,,E,VVS2,1.04,1.98,61.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.35,3.31,1230,IGI Lab-Grown,None
Princess,Ideal,H,VVS1,1.04,1,71.3,68,Excellent,Excellent,Thick,None,5.52,5.51,3.93,3360,GIA,None
Radiant,,F,VVS2,1.05,1.25,65.9,66,Excellent,Excellent,Medium,Pointed,6.66,5.33,3.51,1160,IGI Lab-Grown,None
Pear,,H,VS1,1.01,1.61,63.4,60,Excellent,Excellent,Medium to Thick,None,8.89,5.53,3.51,4570,GIA,None
Pear,,E,VS1,1.06,1.59,60.3,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.18,5.77,3.48,1070,IGI Lab-Grown,None
Heart,,E,VS1,2.46,1.15,53.9,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.4,9.68,5.22,3850,IGI Lab-Grown,None
Princess,Ideal,H,VS2,1.21,1.01,74.5,74,Excellent,Very Good,Thick to Very Thick,None,5.71,5.66,4.22,3590,GIA,None
Heart,,G,VS1,1.04,1.16,57.1,60,Excellent,Excellent,Slightly Thick to Thick,None,6.18,7.14,4.07,3190,GIA,Strong
Princess,Ideal,D,VS1,1,1.02,73.3,67,Excellent,Excellent,Medium,Pointed,5.34,5.25,3.85,1080,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.54,1.01,61.7,56,Excellent,Excellent,Thin to Medium,None,7.41,7.45,4.58,1760,GIA Lab-Grown,
Marquise,,E,VVS2,1.09,1.98,63.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.65,5.37,3.42,1280,IGI Lab-Grown,None
Pear,,D,VS1,1.01,1.54,63.1,61,Excellent,Excellent,Medium to Thick,None,8.68,5.64,3.56,1100,GIA Lab-Grown,
Pear,,F,VVS2,1,1.63,63.2,59,Excellent,Very Good,Medium to Very Thick,None,8.99,5.53,3.49,1080,GIA Lab-Grown,
Round,Excellent,H,VS1,1,1.01,63.7,56,Excellent,Excellent,Medium to Slightly Thick,None,6.29,6.33,4.02,4140,GIA,None
Princess,Ideal,E,VS1,1.01,1.01,71.4,71,Excellent,Excellent,Medium,None,5.61,5.53,3.95,4210,GIA,None
Oval,,D,VS1,1,1.39,63.9,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.81,5.62,3.59,1060,IGI Lab-Grown,None
Marquise,,F,VS2,1.01,1.82,61.4,66,Excellent,Very Good,Slightly Thick to Very Thick,None,9.82,5.4,3.31,5550,GIA,Medium
Round,Excellent,E,VS1,1.52,1,61,61,Excellent,Excellent,Medium to Slightly Thick,None,7.39,7.41,4.52,1730,GIA Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.86,1.02,66.7,62,Excellent,Excellent,Thick,None,8.25,8.08,5.39,6700,GIA Lab-Grown,
Oval,,F,VS1,1.03,1.41,62,62,Excellent,Excellent,Thin to Medium,Pointed,8.05,5.69,3.53,1030,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.53,1,62.2,57,Excellent,Excellent,Medium,None,7.36,7.39,4.59,1740,GIA Lab-Grown,
Heart,,D,VS1,2.02,1.09,60.2,58,Excellent,Excellent,Thin to Medium,Pointed,7.89,8.59,5.17,3550,IGI Lab-Grown,None
Heart,,D,VVS2,1.01,1.13,60.3,58,Excellent,Excellent,Medium to Very Thick,None,6.06,6.85,4.13,4600,GIA,Faint
Round,Excellent,D,VS1,1.52,1,59.8,61,Excellent,Excellent,Medium to Slightly Thick,None,7.46,7.48,4.47,1780,GIA Lab-Grown,
Radiant,,F,VS2,1.02,1.22,70,70,Very Good,Good,Slightly Thick to Thick,None,6.18,5.07,3.55,3200,GIA,None
Heart,,F,VS2,1.01,1.12,60.1,59,Excellent,Excellent,Slightly Thick to Thick,None,6.2,6.95,4.18,3500,GIA,None
Oval,,E,VS2,1.01,1.34,60.2,61,Excellent,Very Good,Medium to Very Thick,None,7.67,5.71,3.44,4870,GIA,None
Pear,,H,VVS1,1,1.54,57.6,62,Excellent,Excellent,Thick to Very Thick,None,8.79,5.69,3.28,3560,GIA,Faint
Heart,,F,VS1,4.07,1.17,59.5,56,Excellent,Excellent,Medium to Very Thick,None,9.56,11.21,6.67,27040,GIA Lab-Grown,
Heart,,H,VS2,1.5,1.21,62.7,56,Excellent,Very Good,Medium to Very Thick,None,6.41,7.74,4.85,6610,GIA,None
Oval,,D,VS1,1.01,1.42,60.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.2,5.76,3.46,1070,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.58,1,60.7,59,Excellent,Excellent,Medium to Slightly Thick,None,7.5,7.52,4.56,1800,GIA Lab-Grown,
Round,Excellent,H,VS2,1.01,1.01,62.5,56,Excellent,Excellent,Medium to Slightly Thick,None,6.39,6.43,4.01,4010,GIA,Faint
Marquise,,E,VVS2,1.09,1.93,62.6,60,Excellent,Very Good,Medium to Thick,None,10.47,5.42,3.39,1210,GIA Lab-Grown,
Marquise,,D,VS2,2.01,1.85,64.6,,,,,,,,,22350,GIA,Medium
Round,Excellent,D,VS1,1.59,1.01,60.6,,,,,,,,,1860,GIA Lab-Grown,
Pear,,D,VS2,1.04,1.5,63.4,59,Excellent,Excellent,Slightly Thick to Thick,None,8.52,5.68,3.6,3900,GIA,Faint
Princess,Ideal,G,VS2,1.2,1.01,73.8,75,Excellent,Excellent,Slightly Thick to Thick,None,5.8,5.77,4.26,4090,GIA,None
Oval,,G,VS2,1,1.39,59.2,57,Excellent,Very Good,Thick to Very Thick,None,7.92,5.68,3.36,4130,GIA,None
Oval,,H,VS2,1.01,1.39,58.8,62,Excellent,Excellent,Slightly Thick to Thick,None,7.98,5.75,3.38,3700,GIA,None
Heart,,F,VS1,2.55,1.07,58.6,57,Excellent,Excellent,Medium to Very Thick,None,8.71,9.36,5.49,5270,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1.09,1.02,73.8,70,Excellent,Excellent,Medium,Pointed,5.62,5.53,4.08,1210,IGI Lab-Grown,None
Princess,Ideal,F,VVS2,1,1.05,73.7,68,Excellent,Excellent,Medium,Pointed,5.62,5.36,3.95,1120,IGI Lab-Grown,None
Pear,,G,VVS1,1.01,1.53,61.1,57,Excellent,Excellent,Slightly Thick to Very Thick,None,8.5,5.57,3.4,4310,GIA,None
Oval,,E,VS1,1.11,1.41,61.8,61,Excellent,Excellent,Medium to Slightly Thick,None,8.31,5.91,3.65,1080,GIA Lab-Grown,
Princess,Ideal,D,VS1,1.09,1,71.6,68,Very Good,Excellent,Medium to Slightly Thick,None,5.71,5.69,4.07,1120,GIA Lab-Grown,
Marquise,,D,VS2,2.01,1.95,58,61,Excellent,Excellent,Slightly Thick to Thick,None,13.01,6.66,3.86,24990,GIA,None
Round,Very Good,H,VS1,1,1.01,64.7,58,Excellent,Excellent,Slightly Thick to Thick,None,6.23,6.27,4.04,3340,GIA,Medium
Princess,Very Good,G,VVS2,1.01,1.02,72.7,77,Excellent,Very Good,Very Thick,None,5.55,5.42,3.94,4070,GIA,None
Oval,,E,VS1,1.05,1.46,63.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.26,5.67,3.59,1030,IGI Lab-Grown,None
Marquise,,D,VS2,1.02,1.8,64.7,58,Excellent,Excellent,Thick to Very Thick,None,9.56,5.32,3.44,5830,GIA,None
Heart,,F,VS1,7.11,1.12,59.3,55,Excellent,Excellent,Slightly Thick to Very Thick,None,11.83,13.26,7.86,16440,GIA Lab-Grown,
Pear,,E,VS2,1.01,1.5,63,56,Excellent,Very Good,Thick to Very Thick,None,8.42,5.6,3.53,3740,GIA,Medium
Radiant,,D,VS1,1,1.39,66.8,63,Excellent,Excellent,Thick to Very Thick,None,6.91,4.96,3.31,1070,GIA Lab-Grown,
Marquise,,D,FL,2.01,2.27,61.5,56,Excellent,Very Good,Thick to Very Thick,None,14.22,6.26,3.85,30660,GIA,None
Pear,,H,VS1,1,1.71,64,55,Excellent,Very Good,Thick to Extremely Thick,None,9.06,5.3,3.39,3320,GIA,Strong
Oval,,E,VS1,1,1.38,61.2,65,Very Good,Very Good,Thick to Very Thick,None,7.72,5.61,3.44,3840,GIA,Strong
Round,Ideal,E,VS1,1.59,1,61.8,56,Excellent,Excellent,Medium,Pointed,7.49,7.52,4.64,1850,IGI Lab-Grown,None
Marquise,,E,VS1,1.33,1.88,62.4,56,Excellent,Very Good,Slightly Thick to Thick,None,10.95,5.81,3.63,1310,GIA Lab-Grown,
